Sample_ID,Data_Source,Molecular_Formula,Empirical_Formula,Dominant_Phase,Hf_content_wt%,Zr_content_wt%,Ta_content_wt%,Nb_content_wt%,Ti_content_wt%,Si_content_wt%,C_content_wt%,B_content_wt%,Valence_Electron_Conc,Sintering_Temp_C,Sintering_Time_min,Sintering_Pressure_MPa,Heating_Rate_C_per_min,Atmosphere,Atmosphere_Code,Powder_Particle_Size_um,Milling_Time_h,Milling_Speed_rpm,Ball_to_Powder_Ratio,Cooling_Rate_C_per_min,Homologous_Temperature,Grain_Size_um,Grain_Aspect_Ratio,Porosity_%,Density_g_cm3,Relative_Density_%,Phase_Fraction_Carbide_%,Phase_Fraction_Boride_%,SiC_Phase_Fraction_%,Mixing_Enthalpy_kJ_mol,Atomic_Size_Mismatch_%,Mixing_Entropy_J_molK,Omega_Phase_Stability,Electronegativity_Difference,Liquidus_Temp_C,Num_Principal_Elements,Phase_Stability_Index,Vickers_Hardness_GPa,Fracture_Toughness_MPa_m05,Flexural_Strength_MPa,Youngs_Modulus_GPa,Weibull_Modulus,Poisson_Ratio,Shear_Modulus_GPa,Bulk_Modulus_GPa,Pughs_Ratio_K_G,Critical_Flaw_Size_um,Specific_Strength_MPa_gcm3,Specific_Stiffness_GPa_gcm3,Nano_Hardness_GPa,Elastic_Energy_Density_MJ_m3,Thermal_Conductivity_W_mK,Thermal_Shock_Resistance_dT_C,CTE_1e6_per_C,Melting_Decomp_Temp_C,Specific_Heat_Cp_J_kgK,Thermal_Diffusivity_mm2_s,Thermal_Mismatch_Stress_MPa,Biot_Number,Phonon_MFP_nm,Cp_HighTemp_J_kgK,Reradiation_Flux_kW_m2,K_Therm_HighTemp_W_mK,Oxide_Thickness_100h_um,Kp_Parabolic_mg2_cm4s,Oxidation_Activation_Energy_kJ_mol,Hot_Corrosion_Resistance_Index,O2_Diffusion_Coeff_m2s,Mass_Gain_Oxidation_mg_cm2,Spallation_Resistance,BET_Surface_Area_m2_g,Milling_Energy_kJ_g,Green_Density_g_cm3,Densification_Rate_%_min,Sintering_Activation_Energy_kJ_mol,Powder_Flowability_s_50g,Carrs_Index_%,CTOD_um,J_Integral_kJ_m2,Notch_Sensitivity_Ratio,R_Curve_Slope,Fatigue_Crack_Growth_nm_cycle,Damage_Tolerance_Index,Test_Temperature_C,Oxidation_Rate_mg_cm2s,Creep_Rate_per_s,Emissivity,Ablation_Rate_mm_per_s,Leading_Edge_Survivability_mm,Plasma_Recession_Rate_um_s,Aero_Structural_FOM,TPS_Efficiency_Index,Service_Life_h,Heat_Absorption_Specific_J_g,Reusability_Index
UHTM_0085,Synthetic,Hf0.04Zr0.08Ta0.03Nb0.05Ti0.04Si0.20C0.43B0.13,Hf1.1Zr2.2TaNb1.5Ti1.1Si5.7C12.4B3.6,HfSi,17.832,17.789,16.133,12.651,4.6,14.274,13.249,3.473,4.2531,1731.2,175.2,35.6,25.67,He,3,2.507,65.1,240.9,7.37,39.5,0.5769,47.206,2.546,0.253,6.5154,99.701,58.85,30.26,18.38,-3.9983,15.0,13.8511,11.034,0.4518,4000.0,6,10.828,21.494,6.982,325.41,389.2,5.0,0.1956,168.2,207.79,1.2554,100.0,65.407,66.778,19.744,0.001,36.483,100.0,7.1913,3185.1,395.98,14.4879,6.49,0.0428,5.0,537.66,875.421,5.0,500.0,100.0,213.73,6.136,2.66715e-15,200.0,0.6312,0.5211,30.0,4.6122,0.23775,376.32,31.242,20.057,0.3984,0.12972,0.9696,0.664,0.00046,0.2722,1759.5,1.14779,6.848e-09,0.8951,0.01188,15.0,6.8312,17.8766,0.3782,389.44,678.75,4.176
UHTM_0086,Synthetic,Hf0.05Zr0.05Ta0.02Ti0.04Si0.24C0.48B0.12,Hf2.3Zr2.3TaTi2.0Si12.1C24.5B5.9,HfSi,25.233,12.986,11.032,2.415,5.875,20.647,17.94,3.874,4.0957,1636.0,232.8,60.39,7.48,Vacuum,0,7.473,11.27,193.6,11.83,23.66,0.5529,2.573,1.845,0.03,6.9695,99.9,69.62,26.61,27.75,-2.6876,15.0,12.2461,14.8098,0.4288,4000.0,6,9.185,22.975,4.585,900.0,410.11,11.99,0.2026,178.49,236.71,1.2407,8.262,140.343,56.481,21.535,0.001,48.859,100.0,7.8732,3250.2,399.63,17.1725,6.62,0.01,64.802,542.56,781.834,6.847,500.0,100.0,225.61,7.103,1.395739e-14,200.0,0.6268,0.1557,4.1134,5.0095,0.1407,389.48,54.526,19.712,0.05757,0.04847,0.993,0.1774,0.001361,0.2035,1735.3,1.01795,6.529e-09,0.8529,0.01902,15.0,12.0768,39.8869,0.4328,411.16,693.51,4.378
UHTM_0087,Experimental,Hf0.10Zr0.04Ta0.03Nb0.05Ti0.01Si0.11C0.45B0.20,Hf9.0Zr3.4Ta3.1Nb5.1TiSi10.4C42.0B19.1,HfC,40.254,7.812,13.897,11.811,1.195,7.29,12.599,5.143,4.2057,1678.6,112.6,81.5,24.21,He,3,1.766,26.4,119.9,14.09,47.11,0.5364,25.402,3.531,4.415,7.2269,99.9,59.52,34.06,6.7,-4.7056,15.0,13.2757,10.4073,0.4576,4000.0,7,8.662,22.888,7.884,608.1,384.3,5.0,0.183,160.18,226.74,1.3669,53.5083,88.661,44.081,22.117,0.01046,47.797,100.0,7.3248,3688.9,401.09,15.9247,0.79,0.0636,5.0,517.36,508.944,5.0,500.0,100.0,208.91,7.236,8.90543e-15,200.0,0.5975,0.4034,3.8157,5.6583,0.34103,509.45,27.329,21.496,0.26051,0.16306,0.9134,0.4615,0.000281,0.3164,1542.7,0.61581,5.679e-09,0.8227,0.01628,15.0,9.1818,29.9766,1.131,641.22,611.09,6.873
UHTM_0088,Experimental,Hf0.08Zr0.04Nb0.03Ti0.06Si0.29C0.19B0.31,Hf2.8Zr1.4NbTi2.1Si10.2C6.7B10.8,HfSi,36.714,9.341,3.795,6.89,7.462,21.192,5.943,8.662,4.0202,1963.6,57.5,24.96,26.11,N2,2,1.98,44.58,207.4,15.38,24.83,0.6495,29.419,4.904,0.562,7.3241,99.9,50.25,35.72,28.61,-4.1213,15.0,13.9025,10.9494,0.3672,4000.0,7,10.919,24.515,7.797,636.87,413.07,5.8,0.1948,188.84,231.78,1.2426,47.7109,80.37,56.835,23.05,0.001,50.841,100.0,7.7974,3245.9,378.92,17.8051,29.33,0.1457,5.0,569.95,3024.53,6.19,500.0,100.0,248.43,1.0,1.7822316e-13,200.0,0.6524,0.1,19.094,5.0163,0.71988,419.43,29.01,19.309,0.21671,0.14673,1.0,0.4997,0.000304,0.3666,2491.3,8.24178,6.5071e-08,0.9108,0.05965,14.144,32.4385,27.074,0.5099,60.85,934.99,0.0
UHTM_0089,Experimental,Hf0.10Zr0.04Ta0.05Nb0.03Ti0.08Si0.15C0.50B0.05,Hf3.3Zr1.3Ta1.6NbTi2.5Si5.1C16.6B1.7,HfC,37.814,7.554,18.26,5.916,7.573,9.063,12.66,1.161,4.2302,2109.7,171.1,66.14,46.78,N2,2,4.661,11.48,361.7,10.75,23.67,0.6803,46.05,2.242,2.616,7.0556,98.895,60.26,19.24,11.44,-5.2613,15.0,13.2268,8.6387,0.4942,4000.0,7,3.359,24.257,6.728,320.53,385.44,5.0,0.1846,171.35,217.76,1.244,100.0,37.009,59.792,23.878,0.001,47.386,100.0,8.4444,3436.3,408.45,16.1217,0.0,0.0556,5.0,518.85,205.821,9.879,500.0,29.19832,223.45,6.319,1.57975e-15,200.0,0.558,0.1139,15.0022,5.3846,0.26424,489.27,45.313,18.873,0.36941,0.11368,1.0,0.6425,0.000444,0.2717,1166.8,0.09006,3.178e-09,0.8276,0.01228,15.0,8.0976,13.9538,0.8241,2000.0,459.42,9.375
UHTM_0090,Experimental,Hf0.07Zr0.05Ta0.01Nb0.06Ti0.04Si0.33C0.35B0.09,Hf5.8Zr3.8TaNb4.5Ti3.1Si26.8C28.6B7.1,HfSi,31.369,10.403,5.479,12.728,4.498,22.798,10.402,2.323,4.1588,1627.0,183.2,29.54,33.85,Ar,1,2.934,69.7,313.4,18.04,39.47,0.54,2.933,2.844,3.332,6.6721,96.124,50.79,23.27,27.34,-4.3489,15.0,13.4776,10.2133,0.4309,4000.0,6,13.451,25.119,5.742,900.0,374.84,12.8,0.2106,145.43,204.01,1.3913,12.9555,125.195,59.781,24.133,0.01726,47.492,100.0,7.4877,3295.6,403.16,17.0775,0.0,0.0222,67.071,565.64,1007.528,6.138,500.0,100.0,212.04,6.627,3.982045e-14,200.0,0.5694,0.1,30.0,4.7215,0.12499,414.22,35.412,21.153,0.10313,0.07645,1.0,0.1934,0.000724,0.1575,1885.3,1.38212,1.2068e-08,0.82,0.01951,15.0,11.6878,48.0899,0.1386,310.9,748.04,2.756
UHTM_0091,Experimental,Hf0.03Zr0.03Ta0.03Nb0.04Ti0.05Si0.24C0.31B0.28,HfZr1.2Ta1.3Nb1.4Ti2.0Si9.6C12.3B11.1,TaSi,13.857,8.274,18.418,10.146,7.576,20.954,11.481,9.294,4.1927,2040.5,150.8,22.92,19.02,Vacuum,0,2.55,65.86,477.6,13.52,41.26,0.7095,28.888,3.696,3.918,5.3725,85.0,53.85,38.3,24.35,-2.5505,15.0,13.6265,17.0554,0.3767,4000.0,8,11.658,19.695,7.039,418.34,362.55,6.47,0.2096,156.37,207.19,1.27,90.1164,74.829,67.889,18.661,0.001,38.764,100.0,6.1952,3192.3,411.82,17.6662,5.57,0.0355,5.0,563.95,1350.921,6.019,500.0,100.0,211.52,5.356,3.620818e-14,200.0,0.6553,0.4029,30.0,3.7144,0.18865,404.01,30.505,16.482,0.33597,0.13221,1.0,0.4774,0.000393,0.3777,2022.5,2.19111,2.0719e-08,0.8569,0.02796,14.514,16.312,34.5764,0.8912,207.28,813.53,0.0
UHTM_0092,Synthetic,Hf0.06Zr0.07Ta0.02Nb0.05Ti0.06Si0.22C0.48B0.05,Hf2.7Zr3.2TaNb2.2Ti2.8Si10.5C22.5B2.3,HfSi,25.767,15.493,9.575,10.958,7.108,15.535,14.271,1.293,4.1924,1804.8,73.4,24.22,28.64,Ar,1,6.488,12.02,258.5,11.59,28.17,0.5983,42.755,3.166,9.558,6.4172,94.746,61.71,21.42,15.87,-1.512,15.0,13.0925,30.1102,0.4701,4000.0,7,7.411,22.536,7.86,322.77,323.63,5.0,0.2147,133.37,191.2,1.4432,100.0,53.098,48.222,21.148,0.01769,39.505,100.0,7.7769,3477.4,402.96,14.7351,0.0,0.0826,5.0,594.91,2546.235,5.0,500.0,100.0,203.22,1.0,1.673353e-13,200.0,0.6253,0.5283,8.1438,4.458,0.49028,409.71,51.966,15.682,0.58637,0.18938,1.0,0.6349,0.000245,0.3073,2401.5,6.68227,9.3403e-08,0.8745,0.04027,14.874,22.3215,20.0688,1.4454,72.67,954.5,0.0
UHTM_0093,Synthetic,Hf0.08Zr0.04Ta0.03Ti0.02Si0.23C0.37B0.21,Hf4.8Zr2.5Ta1.6TiSi13.4C21.5B12.3,HfSi,38.553,10.049,12.794,2.027,2.145,16.894,11.563,5.976,4.0885,1887.1,135.9,86.73,7.97,N2,2,6.545,8.72,377.5,6.01,9.81,0.6125,12.475,4.374,0.696,7.0955,99.147,52.28,31.3,22.25,-4.4224,15.0,13.2102,10.4798,0.426,4000.0,6,2.49,24.452,6.357,876.82,450.45,10.31,0.2022,186.02,252.76,1.434,16.731,129.717,60.681,22.736,0.001,52.132,100.0,7.2171,3508.3,399.53,18.7128,0.0,0.0271,11.665,560.46,1787.149,9.151,500.0,100.0,237.39,4.573,3.671243e-14,200.0,0.5665,0.1684,12.2759,5.4368,0.32984,419.79,53.228,17.64,0.10898,0.10222,1.0,0.3005,0.00062,0.2801,2170.3,3.08138,2.1933e-08,0.8841,0.01797,15.0,9.2928,38.051,1.0086,157.71,857.22,0.0
UHTM_0094,Experimental,Hf0.05Zr0.05Ta0.02Ti0.04Si0.18C0.48B0.18,Hf2.9Zr2.6TaTi1.9Si9.7C25.9B9.5,HfC,29.905,13.762,10.344,1.575,5.279,15.539,17.752,5.844,4.0608,2157.3,95.6,29.44,48.77,Vacuum,0,8.263,6.15,295.7,11.97,23.92,0.7174,43.876,4.047,2.477,6.8361,99.115,69.12,32.69,17.1,-6.4304,15.0,12.429,6.4876,0.4307,4000.0,7,7.274,25.214,8.34,345.99,401.33,5.0,0.2033,166.84,243.9,1.4781,100.0,50.755,65.087,23.776,0.00919,39.088,100.0,8.0066,3356.5,414.28,13.5479,9.99,0.023,5.0,554.07,1281.149,6.117,500.0,100.0,227.92,5.761,5.7881e-14,200.0,0.6291,0.3527,5.5046,4.7282,0.3657,448.71,57.138,21.025,0.48789,0.17644,1.0,0.6547,0.000251,0.3786,1965.8,1.54656,1.3732e-08,0.9027,0.01873,15.0,10.5189,15.7456,1.2408,279.44,829.94,1.927
UHTM_0095,Synthetic,Hf0.10Zr0.14Ta0.01Nb0.06Ti0.03Si0.13C0.31B0.22,Hf8.1Zr11.8TaNb4.6Ti2.4Si11.0C25.6B17.8,HfSi,35.79,26.535,4.464,10.514,2.779,7.604,7.575,4.738,4.1024,1799.2,119.8,23.61,21.2,Ar,1,4.235,65.48,305.0,17.31,48.44,0.5642,1.443,1.233,0.245,7.4941,99.9,53.98,28.96,7.57,-3.7765,15.0,14.8588,14.1306,0.4744,4000.0,5,10.339,22.719,3.845,900.0,447.79,13.48,0.1925,182.42,235.27,1.3383,5.8083,125.748,49.988,21.627,0.00167,52.739,100.0,8.3568,3591.4,365.58,18.7913,6.72,0.01,87.698,459.32,225.974,11.475,500.0,43.305356,227.99,6.609,4.4321e-16,200.0,0.5404,0.4501,30.0,5.0297,0.35494,451.44,44.428,20.749,0.03758,0.03253,1.0,0.1385,0.00249,0.1549,1175.2,0.10968,8.87e-10,0.8938,0.00344,15.0,1.6526,32.0146,1.5939,2000.0,419.73,8.708
UHTM_0096,Experimental,Hf0.05Zr0.06Nb0.03Ti0.05Si0.23C0.39B0.19,Hf1.6Zr2.0NbTi1.8Si7.8C13.5B6.4,HfSi,25.664,15.849,3.321,8.161,7.458,19.29,14.192,6.065,4.0542,1879.2,165.5,55.03,26.5,Ar,1,0.824,13.94,207.1,14.22,37.9,0.633,36.757,4.994,1.044,6.5245,96.375,62.27,31.93,25.13,-6.7564,15.0,13.4269,6.6004,0.424,4000.0,7,9.301,26.789,8.024,519.15,418.91,8.35,0.1947,183.39,231.94,1.3086,76.0393,88.928,59.46,25.342,0.00809,49.935,100.0,8.354,3321.3,392.28,19.1682,16.6,0.0438,5.0,527.8,551.604,6.704,500.0,100.0,234.51,6.768,2.99138e-15,200.0,0.6553,1.011,6.0644,4.9578,0.12603,406.96,21.731,19.527,0.30155,0.15624,1.0,0.5774,0.000364,0.2914,1560.6,0.8019,2.909e-09,0.8677,0.02628,15.0,14.5503,22.7459,1.2476,469.49,595.29,5.458
UHTM_0097,Experimental,Hf0.06Zr0.08Nb0.02Ti0.04Si0.13C0.58B0.08,Hf3.6Zr5.4NbTi2.7Si8.4C37.0B4.8,HfC,29.272,22.437,4.562,4.254,5.975,10.788,20.333,2.378,4.0644,1608.2,186.5,87.52,20.99,Ar,1,2.809,29.97,282.0,17.48,40.75,0.5263,46.689,4.01,3.767,7.0759,99.9,67.14,19.63,9.18,-5.7576,15.0,11.5649,6.955,0.4729,4000.0,5,9.313,19.068,7.668,299.63,406.26,5.0,0.193,165.65,196.23,1.1667,100.0,38.628,56.935,17.674,0.0202,35.615,100.0,8.3038,3462.6,408.95,11.7999,0.0,0.01,5.0,498.62,231.019,5.0,500.0,39.323988,238.69,7.895,7.0419e-16,200.0,0.6549,0.4255,23.7189,5.4933,0.19521,391.13,31.394,21.191,0.48953,0.14603,1.0,0.6701,0.000367,0.4107,1208.3,0.10451,1.459e-09,0.8598,0.0178,15.0,9.7499,12.5149,0.7404,1764.26,471.04,9.331
UHTM_0098,Experimental,Hf0.07Zr0.05Ta0.01Ti0.07Si0.27C0.27B0.26,Hf6.8Zr5.0TaTi6.4Si25.8C26.4B24.8,HfSi,34.42,12.834,5.141,1.643,8.75,20.591,9.001,7.62,3.9916,1649.0,78.8,40.99,35.71,Ar,1,9.802,32.32,288.3,12.41,2.61,0.5469,33.031,4.456,0.917,7.1447,99.9,57.64,36.42,21.66,-5.6496,15.0,13.7516,8.2497,0.4005,4000.0,7,11.868,23.279,7.075,548.16,374.0,5.75,0.1975,151.68,210.33,1.3774,53.0206,87.707,42.376,21.366,0.0046,44.389,100.0,8.4002,3389.2,399.43,15.5653,0.0,0.01,5.0,586.44,2241.065,6.685,500.0,100.0,245.58,2.863,6.415519e-14,200.0,0.682,0.1,26.7455,5.1386,0.49019,425.15,60.0,18.179,0.25233,0.13036,1.0,0.5301,0.00049,0.2708,2321.8,4.80861,4.309e-08,0.8728,0.04486,14.196,25.6991,24.4999,0.5946,92.19,923.81,0.0
UHTM_0099,Experimental,Hf0.04Zr0.07Ta0.05Ti0.11Si0.24C0.27B0.22,HfZr1.8Ta1.4Ti2.7Si6.2C7.0B5.6,TaSi,16.732,15.068,23.956,1.974,12.26,16.418,7.874,5.718,4.2021,1755.2,115.1,53.74,34.8,Ar,1,6.003,43.13,382.7,6.78,23.93,0.5922,22.232,3.605,1.789,6.5546,99.9,57.92,31.17,19.67,-1.8661,15.0,14.7249,25.1044,0.4126,4000.0,7,4.22,22.802,7.338,728.46,400.63,6.41,0.2015,172.81,228.72,1.397,32.2995,101.3,60.033,22.366,0.01327,45.602,100.0,7.2324,3181.5,371.43,18.4584,0.0,0.0183,5.0,550.6,1633.804,5.0,500.0,100.0,212.53,4.89,7.889528e-14,200.0,0.62,0.2087,30.0,4.754,0.35053,451.64,47.76,17.451,0.18986,0.13413,1.0,0.427,0.000332,0.3263,2124.4,2.65423,2.1593e-08,0.8723,0.02358,14.977,13.5371,38.5199,0.7325,169.86,769.33,0.0
UHTM_0100,Experimental,Hf0.03Zr0.03Ta0.02Nb0.06Ti0.04Si0.12C0.43B0.27,Hf2.0Zr1.7TaNb3.7Ti2.1Si7.1C24.8B15.8,HfC,19.689,8.606,10.008,19.169,5.659,10.971,16.441,9.456,4.1972,1616.7,86.5,23.19,37.19,Vacuum,0,7.126,5.16,476.3,5.2,32.68,0.5517,2.722,4.425,1.401,6.5493,99.373,65.1,43.74,13.75,-2.7858,15.0,12.9695,14.6556,0.4044,4000.0,8,8.983,26.382,6.378,873.85,422.74,11.06,0.1828,196.06,221.62,1.167,16.9586,139.29,58.413,25.116,0.001,42.413,100.0,7.5338,3147.9,413.82,16.2049,0.0,0.01,57.553,603.94,1654.604,5.0,500.0,100.0,237.08,4.778,4.931617e-14,200.0,0.5318,0.3437,11.7795,4.6468,0.49127,472.84,51.426,18.909,0.11124,0.09449,0.9593,0.2064,0.000521,0.2522,2136.3,2.82417,1.941e-08,0.8683,0.02687,15.0,16.1642,41.9601,0.5859,155.34,877.51,0.0
UHTM_0101,Experimental,Hf0.04Zr0.06Nb0.02Ti0.11Si0.37C0.32B0.08,Hf2.0Zr3.3NbTi6.2Si20.2C17.2B4.2,HfSi,18.845,15.659,1.964,4.886,15.536,29.865,10.847,2.398,4.0445,1978.8,71.7,55.93,17.07,Ar,1,0.173,16.33,231.7,9.55,41.67,0.6889,46.046,1.45,2.077,6.615,99.9,57.8,21.98,36.81,-3.1095,15.0,13.0002,13.5861,0.4154,4000.0,5,10.427,19.911,7.294,311.01,388.5,5.0,0.2116,156.35,228.44,1.5091,100.0,47.336,61.104,18.894,0.001,39.382,100.0,8.7961,3249.6,428.93,12.7272,21.64,0.0298,5.0,587.71,1274.81,6.947,500.0,100.0,224.44,6.45,6.132019e-14,200.0,0.6008,5.3522,8.8846,4.7866,0.50162,417.13,11.286,17.318,0.45267,0.12937,0.9024,0.6541,0.000379,0.322,1978.4,1.63125,1.4921e-08,0.8737,0.01586,15.0,9.5094,13.7231,1.142,274.54,851.69,1.471
UHTM_0102,Experimental,Hf0.07Zr0.05Ta0.04Nb0.02Ti0.04Si0.08C0.50B0.20,Hf3.5Zr2.5Ta2.1NbTi2.1Si4.2C25.9B10.1,HfC,31.696,11.751,19.035,4.764,5.235,5.978,15.935,5.607,4.1819,1855.8,194.5,66.21,19.21,Vacuum,0,5.23,67.07,116.9,15.47,3.41,0.6037,23.78,2.391,7.216,6.4956,93.45,64.51,25.79,6.57,-3.6485,15.0,12.7716,12.3841,0.4562,4000.0,7,11.441,22.314,6.657,652.96,381.71,9.53,0.1931,150.0,201.63,1.3525,33.0862,102.277,55.899,21.229,0.001,44.787,100.0,7.2208,3537.8,368.91,19.2743,14.84,0.0709,5.0,495.76,880.924,5.0,500.0,100.0,215.37,5.97,2.370381e-14,200.0,0.5352,0.1049,9.114,4.8727,0.232,466.04,46.026,20.159,0.17729,0.11332,0.9948,0.4227,0.00046,0.3582,1760.6,1.10868,1.1195e-08,0.9103,0.01996,15.0,10.9511,36.6165,0.9783,377.03,647.85,4.131
UHTM_0103,Synthetic,Hf0.04Zr0.04Ta0.03Nb0.01Ti0.01Si0.25C0.55B0.06,Hf3.6Zr3.1Ta3.0Nb1.1TiSi21.5C47.2B5.2,HfSi,22.432,10.067,18.879,3.631,1.687,21.332,19.992,1.979,4.2053,1928.9,220.9,65.67,10.64,Ar,1,0.472,65.41,298.5,16.85,42.77,0.6526,1.935,4.506,0.115,6.5471,98.114,71.58,25.81,30.66,-6.3238,15.0,10.9984,5.7344,0.4238,4000.0,5,13.263,25.122,6.541,900.0,443.02,12.91,0.2055,192.87,238.52,1.2171,16.8133,133.788,65.669,24.165,0.001,44.755,100.0,7.9592,3297.1,423.9,15.79,17.06,0.1009,61.599,515.01,242.585,7.882,500.0,0.360098,227.18,7.895,2.93365e-15,43.8231,0.6819,2.1947,30.0,4.8652,0.05507,418.11,18.491,23.174,0.1072,0.09611,1.0,0.1961,0.00062,0.1743,1225.0,0.01,2.197e-09,0.8354,0.00397,15.0,2.3653,38.9448,1.1464,2000.0,499.3,9.308
UHTM_0104,Synthetic,Hf0.07Zr0.04Ta0.05Nb0.03Ti0.07Si0.19C0.44B0.12,Hf2.7Zr1.4Ta1.8NbTi2.5Si7.1C16.7B4.5,HfC,30.381,7.888,20.278,5.819,7.605,12.406,12.579,3.045,4.2305,1704.8,107.7,46.59,34.5,N2,2,5.735,56.25,317.8,9.44,27.87,0.5612,34.646,1.807,1.706,6.7171,97.188,58.51,27.13,14.43,-4.5658,15.0,13.8101,10.7484,0.4586,4000.0,7,8.115,22.634,6.541,479.63,401.12,7.13,0.1811,171.37,199.75,1.1521,59.2072,83.878,56.501,21.042,0.01546,42.525,100.0,7.2536,3553.5,394.56,16.8456,10.94,0.0134,5.0,513.97,500.319,5.0,500.0,100.0,227.92,6.849,1.15003e-15,200.0,0.5679,0.3832,30.0,4.8595,0.26071,480.92,44.528,15.766,0.23821,0.10893,1.0,0.5245,0.000504,0.3294,1494.5,0.60131,3.772e-09,0.9037,0.001,15.0,1.0781,24.5702,1.6131,808.39,582.2,6.74
UHTM_0105,Experimental,Hf0.14Zr0.05Ta0.06Ti0.10Si0.10C0.43B0.12,Hf2.7ZrTa1.3Ti1.9Si2.0C8.4B2.3,HfC,44.091,8.462,21.007,1.099,8.375,5.281,9.375,2.309,4.198,1777.6,187.8,45.24,6.79,N2,2,9.216,1.4,167.4,12.43,10.67,0.5607,24.351,1.313,3.976,7.1029,96.998,53.96,21.59,5.88,-2.1315,15.0,14.1616,23.9969,0.5065,4000.0,6,10.162,23.777,6.461,620.66,385.27,9.04,0.1924,165.57,200.22,1.2781,34.4984,81.339,57.623,22.286,0.00381,49.563,100.0,7.5694,3611.9,356.82,19.6157,0.0,0.01,5.0,441.67,233.497,8.033,500.0,0.359849,203.67,6.129,3.7378e-16,43.3232,0.6466,0.1,0.3259,5.0002,0.24407,483.63,60.0,17.983,0.14665,0.10855,1.0,0.423,0.000491,0.3407,1205.4,0.01,1.542e-09,0.865,0.0061,15.0,3.5348,29.9221,1.764,2000.0,434.1,9.577
UHTM_0106,Synthetic,Hf0.05Zr0.09Nb0.04Ti0.03Si0.26C0.45B0.08,Hf1.6Zr2.7Nb1.3TiSi8.2C14.5B2.6,HfSi,23.932,21.113,4.445,9.951,4.048,19.455,14.718,2.337,4.1206,1998.3,218.4,28.53,31.9,Ar,1,9.687,23.54,404.2,11.32,16.55,0.6633,6.655,4.152,1.313,7.0628,99.9,64.79,20.08,21.75,-4.1969,15.0,12.8486,10.0768,0.4548,4000.0,5,5.163,24.347,5.804,900.0,395.52,12.42,0.2084,163.93,213.13,1.3001,13.2359,141.303,55.656,22.51,0.001,52.197,100.0,7.7019,3291.5,478.65,16.04,2.24,0.0195,40.03,658.79,1528.687,5.0,500.0,100.0,222.22,5.334,4.75509e-14,200.0,0.5977,0.3859,30.0,4.9352,0.18791,420.29,60.0,20.586,0.10037,0.09001,0.9482,0.2293,0.000744,0.2778,2087.4,2.53067,1.8013e-08,0.8689,0.01538,15.0,9.3175,41.8336,1.1837,190.12,990.53,0.0
UHTM_0107,Experimental,Hf0.05Zr0.04Ta0.02Ti0.06Si0.08C0.48B0.28,Hf3.1Zr2.5TaTi4.1Si4.8C30.1B17.4,HfC,29.683,12.376,9.655,1.236,10.443,7.233,19.313,10.06,4.0083,2179.2,207.7,49.34,44.14,He,3,5.451,45.21,494.0,11.16,14.81,0.7297,11.106,4.342,0.164,7.006,99.9,76.01,44.73,8.93,-3.3562,15.0,12.0195,12.2499,0.4222,4000.0,7,10.723,24.51,7.452,800.86,412.85,9.79,0.1877,178.55,207.02,1.2218,27.5615,128.251,63.658,23.036,0.00282,54.301,100.0,8.1419,3420.5,399.07,19.3835,12.01,0.0593,19.613,489.24,259.882,9.651,500.0,100.0,222.15,6.932,1.04088e-15,200.0,0.6307,0.2607,30.0,5.0737,0.27745,467.97,44.229,23.214,0.17406,0.13353,1.0,0.3069,0.000395,0.2512,1240.3,0.36662,2.038e-09,0.8493,0.01922,15.0,11.1498,33.8339,1.1562,894.78,482.96,7.74
UHTM_0108,Synthetic,Hf0.11Zr0.08Ta0.05Nb0.07Ti0.10Si0.20C0.23B0.14,Hf2.4Zr1.8TaNb1.5Ti2.3Si4.5C5.1B3.2,HfSi,34.61,13.397,14.402,11.401,8.605,9.994,4.877,2.713,4.2309,1630.3,68.4,27.96,45.09,N2,2,4.636,19.81,478.3,8.47,27.01,0.5222,3.692,1.651,1.644,7.4197,99.9,43.12,29.67,13.22,-7.2477,15.0,16.3092,7.8549,0.4429,4000.0,6,4.6,24.866,6.187,900.0,393.39,12.52,0.2026,166.48,212.13,1.3445,15.0434,125.809,59.059,23.036,0.00783,48.934,100.0,8.3264,3490.7,374.37,17.5477,0.0,0.01,50.435,495.25,1348.058,6.497,500.0,100.0,205.97,5.893,3.319572e-14,200.0,0.498,0.1,30.0,5.0865,0.62171,450.0,41.161,18.585,0.10391,0.10382,0.9433,0.2083,0.000574,0.2921,2053.2,1.76822,1.7145e-08,0.8093,0.02792,14.745,16.9559,36.9117,0.5411,247.91,768.23,0.351
